num-db,db,tx-type,count,duration-ms,tx-per-sec
35,9,strong-read,2862,61288.41,46.6973
35,9,weak-read,1431,61288.41,23.3486
35,9,write,477,61288.41,7.7829
35,10,strong-read,2826,61303.69,46.0984
35,10,weak-read,1413,61303.69,23.0492
35,10,write,471,61303.69,7.6831
35,11,strong-read,2892,61332.40,47.1529
35,11,weak-read,1446,61332.40,23.5764
35,11,write,482,61332.40,7.8588
35,12,strong-read,2892,61324.59,47.1589
35,12,weak-read,1446,61324.59,23.5794
35,12,write,482,61324.59,7.8598
35,13,strong-read,2862,61328.96,46.6664
35,13,weak-read,1431,61328.96,23.3332
35,13,write,477,61328.96,7.7777
35,14,strong-read,2790,61328.47,45.4927
35,14,weak-read,1395,61328.47,22.7464
35,14,write,465,61328.47,7.5821
35,15,strong-read,2970,61363.63,48.4000
35,15,weak-read,1485,61363.63,24.2000
35,15,write,495,61363.63,8.0667
35,16,strong-read,2760,61346.61,44.9903
35,16,weak-read,1380,61346.61,22.4951
35,16,write,460,61346.61,7.4984
35,17,strong-read,2868,61331.46,46.7623
35,17,weak-read,1434,61331.46,23.3811
35,17,write,478,61331.46,7.7937
35,18,strong-read,2958,61374.02,48.1963
35,18,weak-read,1479,61374.02,24.0981
35,18,write,493,61374.02,8.0327
35,19,strong-read,2880,61357.97,46.9377
35,19,weak-read,1440,61357.97,23.4688
35,19,write,480,61357.97,7.8229
35,20,strong-read,2922,61371.27,47.6119
35,20,weak-read,1461,61371.27,23.8059
35,20,write,487,61371.27,7.9353
35,21,strong-read,2952,61408.15,48.0718
35,21,weak-read,1476,61408.15,24.0359
35,21,write,492,61408.15,8.0120
35,22,strong-read,2736,61419.84,44.5459
35,22,weak-read,1368,61419.84,22.2729
35,22,write,456,61419.84,7.4243
35,23,strong-read,3024,61417.38,49.2369
35,23,weak-read,1512,61417.38,24.6184
35,23,write,504,61417.38,8.2061
35,24,strong-read,2958,61449.35,48.1372
35,24,weak-read,1479,61449.35,24.0686
35,24,write,493,61449.35,8.0229
35,25,strong-read,2898,61450.24,47.1601
35,25,weak-read,1449,61450.24,23.5801
35,25,write,483,61450.24,7.8600
35,26,strong-read,2778,61547.62,45.1358
35,26,weak-read,1389,61547.62,22.5679
35,26,write,463,61547.62,7.5226
35,27,strong-read,2808,61561.35,45.6130
35,27,weak-read,1404,61561.35,22.8065
35,27,write,468,61561.35,7.6022
35,28,strong-read,2820,61673.35,45.7248
35,28,weak-read,1410,61673.35,22.8624
35,28,write,470,61673.35,7.6208
35,29,strong-read,2904,61722.19,47.0495
35,29,weak-read,1452,61722.19,23.5248
35,29,write,484,61722.19,7.8416
35,30,strong-read,2898,61975.14,46.7607
35,30,weak-read,1449,61975.14,23.3803
35,30,write,483,61975.14,7.7934
35,31,strong-read,2916,61945.96,47.0733
35,31,weak-read,1458,61945.96,23.5366
35,31,write,486,61945.96,7.8455
35,32,strong-read,2742,63135.39,43.4305
35,32,weak-read,1371,63135.39,21.7152
35,32,write,457,63135.39,7.2384
35,33,strong-read,2784,64045.39,43.4692
35,33,weak-read,1392,64045.39,21.7346
35,33,write,464,64045.39,7.2449
35,34,strong-read,2838,65109.07,43.5884
35,34,weak-read,1419,65109.07,21.7942
35,34,write,473,65109.07,7.2647
40,0,strong-read,2484,61035.41,40.6977
40,0,weak-read,1242,61035.41,20.3488
40,0,write,414,61035.41,6.7829
40,1,strong-read,2496,61194.96,40.7877
40,1,weak-read,1248,61194.96,20.3938
40,1,write,416,61194.96,6.7979
40,2,strong-read,2478,61274.10,40.4412
40,2,weak-read,1239,61274.10,20.2206
40,2,write,413,61274.10,6.7402
40,3,strong-read,2526,61334.39,41.1841
40,3,weak-read,1263,61334.39,20.5920
40,3,write,421,61334.39,6.8640
40,4,strong-read,2442,61403.68,39.7696
40,4,weak-read,1221,61403.68,19.8848
40,4,write,407,61403.68,6.6283
40,5,strong-read,2502,61412.36,40.7410
40,5,weak-read,1251,61412.36,20.3705
40,5,write,417,61412.36,6.7902
40,6,strong-read,2442,61445.26,39.7427
40,6,weak-read,1221,61445.26,19.8713
40,6,write,407,61445.26,6.6238
40,7,strong-read,2556,61461.22,41.5872
40,7,weak-read,1278,61461.22,20.7936
40,7,write,426,61461.22,6.9312
40,8,strong-read,2520,61462.43,41.0007
40,8,weak-read,1260,61462.43,20.5003
40,8,write,420,61462.43,6.8334
40,9,strong-read,2454,61446.26,39.9373
40,9,weak-read,1227,61446.26,19.9687
40,9,write,409,61446.26,6.6562
40,10,strong-read,2586,61492.04,42.0542
40,10,weak-read,1293,61492.04,21.0271
40,10,write,431,61492.04,7.0090
